statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART03;Kühe;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;x;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART03;Kühe;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;19781;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;190;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;6304;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART05;Kälber;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;427;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART05;Kälber;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;3570;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART3;Schweine;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;3547446;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART3;Schweine;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;36969686;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART6;Ziegen;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;452;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART6;Ziegen;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;24868;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1999;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART02;Bullen;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;16088;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1999;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART02;Bullen;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;45025;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;-;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;-;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART01;Ochsen;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;17517;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART01;Ochsen;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;56808;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;3393;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;108429;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART2001;Jungrinder;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;408;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART2001;Jungrinder;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;2413;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1997;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART213;Weibliche Rinder;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;189981;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1997;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART213;Weibliche Rinder;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;685531;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART05;Kälber;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;39450;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART05;Kälber;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;308340;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART2001;Jungrinder;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;-;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART2001;Jungrinder;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;-;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;571;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;19017;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1998;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;x;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1998;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;67539;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;14490;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;744209;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;551;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;30386;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART1;Pferde;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;1128;t;GTR002;Schlachtmenge
